Measure,Pitch Class 0,Pitch Class 1,Pitch Class 2,Pitch Class 3,Pitch Class 4,Pitch Class 5,Pitch Class 6,Pitch Class 7,Pitch Class 8,Pitch Class 9,Pitch Class 10,Pitch Class 11
1,1,6,0,0,0,0,0,0,0,0,6,0
2,1,0,2,0,0,3,0,2,0,0,0,1
3,9,7,1,0,0,0,0,0,0,0,5,1
4,5,0,2,1,0,8,1,2,0,0,2,2
5,2,0,2,0,0,8,0,2,0,0,3,2
6,12,0,2,0,0,8,0,2,0,0,2,3
7,8,4,3,0,0,8,0,5,0,0,2,3
8,10,5,4,0,0,2,0,3,0,0,0,5
9,13,0,4,0,1,6,7,4,0,1,8,2
10,11,0,4,0,4,4,11,8,0,1,6,5
11,2,0,11,0,2,2,15,7,0,2,3,2
12,0,0,7,13,0,1,0,6,0,2,0,2
13,0,0,1,0,0,0,0,1,0,0,3,1
14,0,5,1,0,0,0,0,1,0,0,0,1
15,0,8,1,0,0,0,0,1,0,0,0,1
16,0,2,1,0,0,0,0,3,0,0,0,3
17,2,1,1,0,0,0,0,3,0,1,1,3
18,3,1,1,0,0,1,1,2,0,2,1,2
19,1,2,1,0,0,1,1,4,0,1,0,4
20,2,1,0,0,2,2,0,3,0,3,1,2
21,1,0,5,0,7,5,3,6,0,5,0,1
22,2,0,1,0,2,2,0,1,0,3,0,2
23,5,6,9,0,1,3,0,3,0,4,0,6
24,2,0,1,0,1,1,0,0,0,0,0,0
25,4,0,4,0,2,0,3,4,0,1,0,2
26,1,0,0,0,0,0,0,0,0,0,0,1
